,emotion,image
0,6.0,../input/affectnetsample/train_class/class006/image0034330.jpg
1,4.0,../input/affectnetsample/train_class/class004/image0031650.jpg
2,8.0,../input/affectnetsample/train_class/class008/image0042387.jpg
3,8.0,../input/affectnetsample/train_class/class008/image0023892.jpg
4,6.0,../input/affectnetsample/train_class/class006/image0038174.jpg
5,4.0,../input/affectnetsample/train_class/class004/image0024451.jpg
6,7.0,../input/affectnetsample/train_class/class007/image0023181.jpg
7,6.0,../input/affectnetsample/train_class/class006/image0034842.jpg
8,5.0,../input/affectnetsample/train_class/class005/image0023676.jpg
9,4.0,../input/affectnetsample/train_class/class004/image0023058.jpg
10,1.0,../input/affectnetsample/train_class/class001/image0016664.jpg
11,6.0,../input/affectnetsample/train_class/class006/image0041004.jpg
12,8.0,../input/affectnetsample/train_class/class008/image0040599.jpg
13,6.0,../input/affectnetsample/train_class/class006/image0041794.jpg
14,1.0,../input/affectnetsample/train_class/class001/image0015604.jpg
15,8.0,../input/affectnetsample/train_class/class008/image0032603.jpg
16,5.0,../input/affectnetsample/train_class/class005/image0038130.jpg
17,1.0,../input/affectnetsample/train_class/class001/image0001212.jpg
18,7.0,../input/affectnetsample/train_class/class007/image0027699.jpg
19,4.0,../input/affectnetsample/train_class/class004/image0001106.jpg
20,8.0,../input/affectnetsample/train_class/class008/image0040098.jpg
21,2.0,../input/affectnetsample/train_class/class002/image0003888.jpg
22,5.0,../input/affectnetsample/train_class/class005/image0039291.jpg
23,4.0,../input/affectnetsample/train_class/class004/image0028164.jpg
24,5.0,../input/affectnetsample/train_class/class005/image0025663.jpg
25,1.0,../input/affectnetsample/train_class/class001/image0008578.jpg
26,1.0,../input/affectnetsample/train_class/class001/image0001782.jpg
27,2.0,../input/affectnetsample/train_class/class002/image0010155.jpg
28,7.0,../input/affectnetsample/train_class/class007/image0022273.jpg
29,8.0,../input/affectnetsample/train_class/class008/image0039775.jpg
30,5.0,../input/affectnetsample/train_class/class005/image0025566.jpg
31,5.0,../input/affectnetsample/train_class/class005/image0035524.jpg
32,6.0,../input/affectnetsample/train_class/class006/image0041014.jpg
33,1.0,../input/affectnetsample/train_class/class001/image0017315.jpg
34,6.0,../input/affectnetsample/train_class/class006/image0037668.jpg
35,2.0,../input/affectnetsample/train_class/class002/image0011454.jpg
36,3.0,../input/affectnetsample/train_class/class003/image0012535.jpg
37,3.0,../input/affectnetsample/train_class/class003/image0023420.jpg
38,4.0,../input/affectnetsample/train_class/class004/image0006488.jpg
39,7.0,../input/affectnetsample/train_class/class007/image0027670.jpg
40,6.0,../input/affectnetsample/train_class/class006/image0020514.jpg
41,5.0,../input/affectnetsample/train_class/class005/image0039362.jpg
42,1.0,../input/affectnetsample/train_class/class001/image0015085.jpg
43,3.0,../input/affectnetsample/train_class/class003/image0029570.jpg
44,7.0,../input/affectnetsample/train_class/class007/image0020347.jpg
45,4.0,../input/affectnetsample/train_class/class004/image0030551.jpg
46,6.0,../input/affectnetsample/train_class/class006/image0040703.jpg
47,1.0,../input/affectnetsample/train_class/class001/image0010406.jpg
48,6.0,../input/affectnetsample/train_class/class006/image0031225.jpg
49,7.0,../input/affectnetsample/train_class/class007/image0008503.jpg
50,3.0,../input/affectnetsample/train_class/class003/image0027146.jpg
51,1.0,../input/affectnetsample/train_class/class001/image0012123.jpg
52,8.0,../input/affectnetsample/train_class/class008/image0032656.jpg
53,2.0,../input/affectnetsample/train_class/class002/image0008420.jpg
54,8.0,../input/affectnetsample/train_class/class008/image0033051.jpg
55,2.0,../input/affectnetsample/train_class/class002/image0000321.jpg
56,8.0,../input/affectnetsample/train_class/class008/image0041653.jpg
57,8.0,../input/affectnetsample/train_class/class008/image0013115.jpg
58,5.0,../input/affectnetsample/train_class/class005/image0029807.jpg
59,7.0,../input/affectnetsample/train_class/class007/image0026585.jpg
60,4.0,../input/affectnetsample/train_class/class004/image0016382.jpg
61,3.0,../input/affectnetsample/train_class/class003/image0027143.jpg
62,2.0,../input/affectnetsample/train_class/class002/image0008636.jpg
63,8.0,../input/affectnetsample/train_class/class008/image0021591.jpg
64,5.0,../input/affectnetsample/train_class/class005/image0033169.jpg
65,4.0,../input/affectnetsample/train_class/class004/image0009822.jpg
66,8.0,../input/affectnetsample/train_class/class008/image0038538.jpg
67,5.0,../input/affectnetsample/train_class/class005/image0028813.jpg
68,1.0,../input/affectnetsample/train_class/class001/image0003831.jpg
69,1.0,../input/affectnetsample/train_class/class001/image0006155.jpg
70,7.0,../input/affectnetsample/train_class/class007/image0019889.jpg
71,5.0,../input/affectnetsample/train_class/class005/image0029695.jpg
72,1.0,../input/affectnetsample/train_class/class001/image0016719.jpg
73,5.0,../input/affectnetsample/train_class/class005/image0034391.jpg
74,1.0,../input/affectnetsample/train_class/class001/image0008758.jpg
75,7.0,../input/affectnetsample/train_class/class007/image0014554.jpg
76,7.0,../input/affectnetsample/train_class/class007/image0017479.jpg
77,4.0,../input/affectnetsample/train_class/class004/image0027696.jpg
78,8.0,../input/affectnetsample/train_class/class008/image0038509.jpg
79,2.0,../input/affectnetsample/train_class/class002/image0004176.jpg
80,8.0,../input/affectnetsample/train_class/class008/image0032222.jpg
81,8.0,../input/affectnetsample/train_class/class008/image0033080.jpg
82,2.0,../input/affectnetsample/train_class/class002/image0004154.jpg
83,3.0,../input/affectnetsample/train_class/class003/image0015667.jpg
84,8.0,../input/affectnetsample/train_class/class008/image0027088.jpg
85,8.0,../input/affectnetsample/train_class/class008/image0023051.jpg
86,1.0,../input/affectnetsample/train_class/class001/image0010689.jpg
87,1.0,../input/affectnetsample/train_class/class001/image0014186.jpg
88,8.0,../input/affectnetsample/train_class/class008/image0034364.jpg
89,4.0,../input/affectnetsample/train_class/class004/image0032401.jpg
90,7.0,../input/affectnetsample/train_class/class007/image0018220.jpg
91,5.0,../input/affectnetsample/train_class/class005/image0027099.jpg
92,5.0,../input/affectnetsample/train_class/class005/image0032179.jpg
93,6.0,../input/affectnetsample/train_class/class006/image0031535.jpg
94,5.0,../input/affectnetsample/train_class/class005/image0035175.jpg
95,5.0,../input/affectnetsample/train_class/class005/image0038269.jpg
96,8.0,../input/affectnetsample/train_class/class008/image0041727.jpg
97,2.0,../input/affectnetsample/train_class/class002/image0008256.jpg
98,4.0,../input/affectnetsample/train_class/class004/image0025313.jpg
99,3.0,../input/affectnetsample/train_class/class003/image0030325.jpg
100,5.0,../input/affectnetsample/train_class/class005/image0027434.jpg
101,7.0,../input/affectnetsample/train_class/class007/image0027658.jpg
102,3.0,../input/affectnetsample/train_class/class003/image0012361.jpg
103,2.0,../input/affectnetsample/train_class/class002/image0005159.jpg
104,8.0,../input/affectnetsample/train_class/class008/image0034923.jpg
105,3.0,../input/affectnetsample/train_class/class003/image0018075.jpg
106,4.0,../input/affectnetsample/train_class/class004/image0033563.jpg
107,6.0,../input/affectnetsample/train_class/class006/image0015313.jpg
108,6.0,../input/affectnetsample/train_class/class006/image0041092.jpg
109,6.0,../input/affectnetsample/train_class/class006/image0041898.jpg
110,2.0,../input/affectnetsample/train_class/class002/image0006261.jpg
111,7.0,../input/affectnetsample/train_class/class007/image0026927.jpg
112,2.0,../input/affectnetsample/train_class/class002/image0010424.jpg
113,1.0,../input/affectnetsample/train_class/class001/image0005504.jpg
114,4.0,../input/affectnetsample/train_class/class004/image0029940.jpg
115,1.0,../input/affectnetsample/train_class/class001/image0009713.jpg
116,7.0,../input/affectnetsample/train_class/class007/image0021458.jpg
117,2.0,../input/affectnetsample/train_class/class002/image0006711.jpg
118,5.0,../input/affectnetsample/train_class/class005/image0028257.jpg
119,2.0,../input/affectnetsample/train_class/class002/image0001475.jpg
120,6.0,../input/affectnetsample/train_class/class006/image0009785.jpg
121,4.0,../input/affectnetsample/train_class/class004/image0026987.jpg
122,3.0,../input/affectnetsample/train_class/class003/image0024832.jpg
123,8.0,../input/affectnetsample/train_class/class008/image0030848.jpg
124,3.0,../input/affectnetsample/train_class/class003/image0022449.jpg
125,8.0,../input/affectnetsample/train_class/class008/image0035286.jpg
126,4.0,../input/affectnetsample/train_class/class004/image0033404.jpg
127,6.0,../input/affectnetsample/train_class/class006/image0036331.jpg
128,8.0,../input/affectnetsample/train_class/class008/image0036279.jpg
129,4.0,../input/affectnetsample/train_class/class004/image0027962.jpg
130,8.0,../input/affectnetsample/train_class/class008/image0039353.jpg
131,1.0,../input/affectnetsample/train_class/class001/image0008726.jpg
132,8.0,../input/affectnetsample/train_class/class008/image0033687.jpg
133,3.0,../input/affectnetsample/train_class/class003/image0029123.jpg
134,7.0,../input/affectnetsample/train_class/class007/image0018477.jpg
135,2.0,../input/affectnetsample/train_class/class002/image0005066.jpg
136,4.0,../input/affectnetsample/train_class/class004/image0027238.jpg
137,1.0,../input/affectnetsample/train_class/class001/image0016623.jpg
138,2.0,../input/affectnetsample/train_class/class002/image0003397.jpg
