----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1         [-1, 64, 112, 112]           9,408
       BatchNorm2d-2         [-1, 64, 112, 112]             128
              ReLU-3         [-1, 64, 112, 112]               0
         MaxPool2d-4           [-1, 64, 56, 56]               0
            Conv2d-5           [-1, 64, 56, 56]          36,864
       BatchNorm2d-6           [-1, 64, 56, 56]             128
              ReLU-7           [-1, 64, 56, 56]               0
            Conv2d-8           [-1, 64, 56, 56]          36,864
       BatchNorm2d-9           [-1, 64, 56, 56]             128
             ReLU-10           [-1, 64, 56, 56]               0
       BasicBlock-11           [-1, 64, 56, 56]               0
           Conv2d-12           [-1, 64, 56, 56]          36,864
      BatchNorm2d-13           [-1, 64, 56, 56]             128
             ReLU-14           [-1, 64, 56, 56]               0
           Conv2d-15           [-1, 64, 56, 56]          36,864
      BatchNorm2d-16           [-1, 64, 56, 56]             128
             ReLU-17           [-1, 64, 56, 56]               0
       BasicBlock-18           [-1, 64, 56, 56]               0
           Conv2d-19           [-1, 64, 56, 56]          36,864
      BatchNorm2d-20           [-1, 64, 56, 56]             128
             ReLU-21           [-1, 64, 56, 56]               0
           Conv2d-22           [-1, 64, 56, 56]          36,864
      BatchNorm2d-23           [-1, 64, 56, 56]             128
             ReLU-24           [-1, 64, 56, 56]               0
       BasicBlock-25           [-1, 64, 56, 56]               0
           Conv2d-26          [-1, 128, 56, 56]          73,728
      BatchNorm2d-27          [-1, 128, 56, 56]             256
             ReLU-28          [-1, 128, 56, 56]               0
           Conv2d-29          [-1, 128, 56, 56]         147,456
      BatchNorm2d-30          [-1, 128, 56, 56]             256
           Conv2d-31          [-1, 128, 56, 56]           8,192
           Conv2d-32          [-1, 128, 56, 56]           8,192
      BatchNorm2d-33          [-1, 128, 56, 56]             256
      BatchNorm2d-34          [-1, 128, 56, 56]             256
             ReLU-35          [-1, 128, 56, 56]               0
       BasicBlock-36          [-1, 128, 56, 56]               0
        MaxPool2d-37          [-1, 128, 28, 28]               0
           Conv2d-38          [-1, 256, 28, 28]         294,912
      BatchNorm2d-39          [-1, 256, 28, 28]             512
             ReLU-40          [-1, 256, 28, 28]               0
           Conv2d-41          [-1, 256, 28, 28]         589,824
      BatchNorm2d-42          [-1, 256, 28, 28]             512
           Conv2d-43          [-1, 256, 28, 28]          32,768
           Conv2d-44          [-1, 256, 28, 28]          32,768
      BatchNorm2d-45          [-1, 256, 28, 28]             512
      BatchNorm2d-46          [-1, 256, 28, 28]             512
             ReLU-47          [-1, 256, 28, 28]               0
       BasicBlock-48          [-1, 256, 28, 28]               0
        MaxPool2d-49          [-1, 256, 14, 14]               0
           Conv2d-50          [-1, 512, 14, 14]       1,179,648
      BatchNorm2d-51          [-1, 512, 14, 14]           1,024
             ReLU-52          [-1, 512, 14, 14]               0
           Conv2d-53          [-1, 512, 14, 14]       2,359,296
      BatchNorm2d-54          [-1, 512, 14, 14]           1,024
           Conv2d-55          [-1, 512, 14, 14]         131,072
           Conv2d-56          [-1, 512, 14, 14]         131,072
      BatchNorm2d-57          [-1, 512, 14, 14]           1,024
      BatchNorm2d-58          [-1, 512, 14, 14]           1,024
             ReLU-59          [-1, 512, 14, 14]               0
       BasicBlock-60          [-1, 512, 14, 14]               0
        MaxPool2d-61            [-1, 512, 7, 7]               0
           Conv2d-62           [-1, 1024, 7, 7]       4,718,592
      BatchNorm2d-63           [-1, 1024, 7, 7]           2,048
             ReLU-64           [-1, 1024, 7, 7]               0
           Conv2d-65           [-1, 1024, 7, 7]       9,437,184
      BatchNorm2d-66           [-1, 1024, 7, 7]           2,048
           Conv2d-67           [-1, 1024, 7, 7]         524,288
           Conv2d-68           [-1, 1024, 7, 7]         524,288
      BatchNorm2d-69           [-1, 1024, 7, 7]           2,048
      BatchNorm2d-70           [-1, 1024, 7, 7]           2,048
             ReLU-71           [-1, 1024, 7, 7]               0
       BasicBlock-72           [-1, 1024, 7, 7]               0
  ConvTranspose2d-73          [-1, 512, 14, 14]       2,097,664
      BatchNorm2d-74          [-1, 512, 14, 14]           1,024
             ReLU-75          [-1, 512, 14, 14]               0
           Conv2d-76          [-1, 512, 14, 14]       4,718,592
      BatchNorm2d-77          [-1, 512, 14, 14]           1,024
             ReLU-78          [-1, 512, 14, 14]               0
           Conv2d-79          [-1, 512, 14, 14]       2,359,296
      BatchNorm2d-80          [-1, 512, 14, 14]           1,024
           Conv2d-81          [-1, 512, 14, 14]         524,288
           Conv2d-82          [-1, 512, 14, 14]         524,288
      BatchNorm2d-83          [-1, 512, 14, 14]           1,024
      BatchNorm2d-84          [-1, 512, 14, 14]           1,024
             ReLU-85          [-1, 512, 14, 14]               0
       BasicBlock-86          [-1, 512, 14, 14]               0
  ConvTranspose2d-87          [-1, 256, 28, 28]         524,544
      BatchNorm2d-88          [-1, 256, 28, 28]             512
             ReLU-89          [-1, 256, 28, 28]               0
           Conv2d-90          [-1, 256, 28, 28]       1,179,648
      BatchNorm2d-91          [-1, 256, 28, 28]             512
             ReLU-92          [-1, 256, 28, 28]               0
           Conv2d-93          [-1, 256, 28, 28]         589,824
      BatchNorm2d-94          [-1, 256, 28, 28]             512
           Conv2d-95          [-1, 256, 28, 28]         131,072
           Conv2d-96          [-1, 256, 28, 28]         131,072
      BatchNorm2d-97          [-1, 256, 28, 28]             512
      BatchNorm2d-98          [-1, 256, 28, 28]             512
             ReLU-99          [-1, 256, 28, 28]               0
      BasicBlock-100          [-1, 256, 28, 28]               0
 ConvTranspose2d-101          [-1, 128, 56, 56]         131,200
     BatchNorm2d-102          [-1, 128, 56, 56]             256
            ReLU-103          [-1, 128, 56, 56]               0
          Conv2d-104          [-1, 128, 56, 56]         294,912
     BatchNorm2d-105          [-1, 128, 56, 56]             256
            ReLU-106          [-1, 128, 56, 56]               0
          Conv2d-107          [-1, 128, 56, 56]         147,456
     BatchNorm2d-108          [-1, 128, 56, 56]             256
          Conv2d-109          [-1, 128, 56, 56]          32,768
          Conv2d-110          [-1, 128, 56, 56]          32,768
     BatchNorm2d-111          [-1, 128, 56, 56]             256
     BatchNorm2d-112          [-1, 128, 56, 56]             256
            ReLU-113          [-1, 128, 56, 56]               0
      BasicBlock-114          [-1, 128, 56, 56]               0
          Conv2d-115           [-1, 64, 56, 56]          73,728
     BatchNorm2d-116           [-1, 64, 56, 56]             128
            ReLU-117           [-1, 64, 56, 56]               0
          Conv2d-118           [-1, 64, 56, 56]          36,864
     BatchNorm2d-119           [-1, 64, 56, 56]             128
          Conv2d-120           [-1, 64, 56, 56]           8,192
          Conv2d-121           [-1, 64, 56, 56]           8,192
     BatchNorm2d-122           [-1, 64, 56, 56]             128
     BatchNorm2d-123           [-1, 64, 56, 56]             128
            ReLU-124           [-1, 64, 56, 56]               0
      BasicBlock-125           [-1, 64, 56, 56]               0
        Masking4-126           [-1, 64, 56, 56]               0
          Conv2d-127          [-1, 128, 28, 28]          73,728
     BatchNorm2d-128          [-1, 128, 28, 28]             256
            ReLU-129          [-1, 128, 28, 28]               0
          Conv2d-130          [-1, 128, 28, 28]         147,456
     BatchNorm2d-131          [-1, 128, 28, 28]             256
          Conv2d-132          [-1, 128, 28, 28]           8,192
     BatchNorm2d-133          [-1, 128, 28, 28]             256
            ReLU-134          [-1, 128, 28, 28]               0
      BasicBlock-135          [-1, 128, 28, 28]               0
          Conv2d-136          [-1, 128, 28, 28]         147,456
     BatchNorm2d-137          [-1, 128, 28, 28]             256
            ReLU-138          [-1, 128, 28, 28]               0
          Conv2d-139          [-1, 128, 28, 28]         147,456
     BatchNorm2d-140          [-1, 128, 28, 28]             256
            ReLU-141          [-1, 128, 28, 28]               0
      BasicBlock-142          [-1, 128, 28, 28]               0
          Conv2d-143          [-1, 128, 28, 28]         147,456
     BatchNorm2d-144          [-1, 128, 28, 28]             256
            ReLU-145          [-1, 128, 28, 28]               0
